run_id,network,per_weight,preset_name,time_burn,bio_efficiency,survivor_debuff,camera_uptime,final_val_loss,final_play_rate,norm_loss,norm_rate,combined_score
sweep_anynet_s5b1_burn_and_debuff_per25,anynet_s5b1,25,burn_and_debuff,3.0,0.5,3.0,0.25,48.829044342041016,90.08333333333333,0.008443524308746987,0.5445134575511379,0.1425564297507815
sweep_anynet_s5b5_burn_lean_per13,anynet_s5b5,13,burn_lean,2.5,0.75,1.5,0.5,28.075985421737034,88.97222222222223,0.004326377845452499,0.5326826382670286,0.14322367301170819
sweep_anynet_s5b10_time_burn_focused_per21,anynet_s5b10,21,time_burn_focused,3.0,1.0,0.5,0.5,14.155932088692984,88.36111111111111,0.0015648139444825926,0.5261756876607683,0.14324266346290732
sweep_anynet_s5b5_burn_lean_per17,anynet_s5b5,17,burn_lean,2.5,0.75,1.5,0.5,34.285397589206696,89.13888888888889,0.005558247298655064,0.5344572611596449,0.14355359476116508
sweep_anynet_s5b1_burn_lean_per25,anynet_s5b1,25,burn_lean,2.5,0.75,1.5,0.5,25.26035796602567,88.47222222222223,0.003767792691054108,0.5273587695891793,0.1444298240069841
sweep_anynet_s5b1_burn_and_debuff_per13,anynet_s5b1,13,burn_and_debuff,3.0,0.5,3.0,0.25,47.2178678115209,89.36111111111111,0.008123887103463285,0.5368234250164668,0.14463969346748423
sweep_anynet_s1b10_balanced_per17,anynet_s1b10,17,balanced,2.0,0.75,2.0,0.5,314.3464903831482,100.36111111111111,0.06111885367147581,0.6539485359291505,0.14659863679128793
sweep_anynet_s1b10_balanced_per25,anynet_s1b10,25,balanced,2.0,0.75,2.0,0.5,156.85611550013223,93.30555555555556,0.029874739613757195,0.5788228334750554,0.14726546768711343
sweep_anynet_s5b1_balanced_per13,anynet_s5b1,13,balanced,2.0,0.75,2.0,0.5,42.3283699353536,88.27777777777777,0.0071538720822823375,0.52528837621446,0.1474211975932596
sweep_anynet_s5b5_burn_lean_per25,anynet_s5b5,25,burn_lean,2.5,0.75,1.5,0.5,133.48094956080118,91.91666666666667,0.025237400022248488,0.5640343093699186,0.14845588720459835
sweep_anynet_s5b1_burn_lean_per13,anynet_s5b1,13,burn_lean,2.5,0.75,1.5,0.5,32.8260946671168,87.5,0.005268739911448661,0.5170068027155834,0.14858607712333904
sweep_anynet_s5b1_balanced_per25,anynet_s5b1,25,balanced,2.0,0.75,2.0,0.5,39.4419975678126,87.58333333333333,0.006581252025142428,0.5178941141618916,0.1492386421690322
sweep_anynet_s1b10_time_burn_focused_per13,anynet_s1b10,13,time_burn_focused,3.0,1.0,0.5,0.5,30.858439763387043,87.16666666666667,0.004878381870304703,0.5134575569303507,0.14937760023010807
sweep_anynet_s1b10_burn_lean_per21,anynet_s1b10,21,burn_lean,2.5,0.75,1.5,0.5,91.38580405712128,89.66666666666667,0.016886251398910795,0.540076900319597,0.14979730588335843
sweep_anynet_s1b5_balanced_per21,anynet_s1b5,21,balanced,2.0,0.75,2.0,0.5,175.76295948028564,93.33333333333333,0.03362562020075305,0.5791186039571581,0.1498023529533797
sweep_anynet_s1b10_burn_lean_per17,anynet_s1b10,17,burn_lean,2.5,0.75,1.5,0.5,473.6516758600871,106.22222222222223,0.09272300337728913,0.716356107652828,0.14999927006825398
sweep_anynet_s5b5_balanced_per25,anynet_s5b5,25,balanced,2.0,0.75,2.0,0.5,50.76991448799769,87.80555555555556,0.008828568590065991,0.5202602780187136,0.15010191460743214
sweep_anynet_s5b10_burn_lean_per13,anynet_s5b10,13,burn_lean,2.5,0.75,1.5,0.5,69.3942921559016,88.47222222222223,0.012523411405331716,0.5273587695891793,0.1505587571069784
sweep_anynet_s5b1_burn_lean_per21,anynet_s5b1,21,burn_lean,2.5,0.75,1.5,0.5,29.827444692452747,86.47222222222223,0.004673845386007524,0.5060632948777822,0.15145270330687058
sweep_anynet_s1b5_burn_lean_per17,anynet_s1b5,17,burn_lean,2.5,0.75,1.5,0.5,237.42403682072958,95.08333333333333,0.04585840417106031,0.5977521443296304,0.1527752396208531
sweep_anynet_s5b10_burn_lean_per17,anynet_s5b10,17,burn_lean,2.5,0.75,1.5,0.5,77.06864966948827,87.61111111111111,0.014045907631861873,0.5181898846439944,0.154375169949105
sweep_anynet_s5b5_balanced_per13,anynet_s5b5,13,balanced,2.0,0.75,2.0,0.5,54.008340994517006,86.41666666666667,0.0094710317705136,0.5054717539135768,0.15498819606528647
sweep_anynet_s1b5_burn_and_debuff_per25,anynet_s1b5,25,burn_and_debuff,3.0,0.5,3.0,0.25,247.455087184906,94.36111111111111,0.04784843868542254,0.5900621117949594,0.15647527354130797
sweep_anynet_s5b5_time_burn_focused_per13,anynet_s5b5,13,time_burn_focused,3.0,1.0,0.5,0.5,7.881283491849899,83.91666666666667,0.0003200024023328423,0.4788524105243305,0.15656827852433386
sweep_anynet_s5b10_time_burn_focused_per25,anynet_s5b10,25,time_burn_focused,3.0,1.0,0.5,0.5,10.220071077346802,83.5,0.0007839885102605206,0.4744158532927894,0.15822403596934553
sweep_anynet_s1b10_burn_and_debuff_per17,anynet_s1b10,17,burn_and_debuff,3.0,0.5,3.0,0.25,235.77057902018228,92.5,0.04553037889238345,0.570245489494076,0.16079761837644557
sweep_anynet_s1b5_burn_and_debuff_per17,anynet_s1b5,17,burn_and_debuff,3.0,0.5,3.0,0.25,233.35850429534912,92.36111111111111,0.04505185353567891,0.5687666370835623,0.16090630634990655
sweep_anynet_s1b10_burn_and_debuff_per25,anynet_s1b10,25,burn_and_debuff,3.0,0.5,3.0,0.25,133.54533569018045,87.94444444444444,0.0252501734223471,0.5217391304292273,0.16115338226687478
sweep_anynet_s1b10_burn_and_debuff_per13,anynet_s1b10,13,burn_and_debuff,3.0,0.5,3.0,0.25,112.29965698719025,85.91666666666667,0.02103529737596685,0.5001478852357275,0.16468034259245853
sweep_anynet_s5b1_time_burn_focused_per21,anynet_s5b1,21,time_burn_focused,3.0,1.0,0.5,0.5,7.992636372645696,80.97222222222223,0.00034209341653497184,0.4475007394214404,0.16598924356514236
sweep_anynet_s5b5_time_burn_focused_per21,anynet_s5b5,21,time_burn_focused,3.0,1.0,0.5,0.5,11.972615003585815,80.63888888888889,0.0011316712328602165,0.4439514936362075,0.16760672177213992
sweep_anynet_s5b5_time_burn_focused_per17,anynet_s5b5,17,time_burn_focused,3.0,1.0,0.5,0.5,11.77154716849327,80.25,0.0010917818975428267,0.4398107068867692,0.16882103526224923
sweep_anynet_s5b10_time_burn_focused_per13,anynet_s5b10,13,time_burn_focused,3.0,1.0,0.5,0.5,11.359596009055773,80.13888888888889,0.0010100559570132214,0.4386276249583582,0.16911875168240176
sweep_anynet_s5b10_time_burn_focused_per17,anynet_s5b10,17,time_burn_focused,3.0,1.0,0.5,0.5,18.509912262360256,79.61111111111111,0.0024285889736051893,0.4330079857984063,0.1717976165420017
sweep_anynet_s5b1_time_burn_focused_per13,anynet_s5b1,13,time_burn_focused,3.0,1.0,0.5,0.5,9.433883850773176,78.47222222222223,0.0006280188302338281,0.42088139603219415,0.17417519437150542
sweep_anynet_s1b5_balanced_per25,anynet_s1b5,25,balanced,2.0,0.75,2.0,0.5,142.80510663986206,84.0,0.027087195779523555,0.47973972197063863,0.1750391204544749
sweep_anynet_s5b1_time_burn_focused_per25,anynet_s5b1,25,time_burn_focused,3.0,1.0,0.5,0.5,6.268266133964062,78.0,0.0,0.4158532978364476,0.17524401064906572
sweep_anynet_s5b5_time_burn_focused_per25,anynet_s5b5,25,time_burn_focused,3.0,1.0,0.5,0.5,9.427378247181574,76.80555555555556,0.000626728200118932,0.4031351671060299,0.17949815960827428
sweep_anynet_s1b5_balanced_per13,anynet_s1b5,13,balanced,2.0,0.75,2.0,0.5,183.16555937131247,83.77777777777777,0.03509420312520604,0.4773735581138167,0.18135387475349918
sweep_anynet_s5b1_time_burn_focused_per17,anynet_s5b1,17,time_burn_focused,3.0,1.0,0.5,0.5,10.085776316622892,75.22222222222223,0.0007573461149742779,0.38627624962617396,0.18464726739262977
sweep_anynet_s1b5_burn_lean_per13,anynet_s1b5,13,burn_lean,2.5,0.75,1.5,0.5,155.90866549809775,80.83333333333333,0.029686777422737332,0.44602188701092665,0.1869741780926381
sweep_anynet_s1b5_time_burn_focused_per13,anynet_s1b5,13,time_burn_focused,3.0,1.0,0.5,0.5,45.887337823708855,73.36111111111111,0.007859926650468658,0.3664596273252906,0.19556406045774086
sweep_anynet_s1b5_burn_lean_per25,anynet_s1b5,25,burn_lean,2.5,0.75,1.5,0.5,371.4424532254537,84.58333333333333,0.07244597621217297,0.4859509020947961,0.20492691272008223
sweep_anynet_s1b5_burn_and_debuff_per13,anynet_s1b5,13,burn_and_debuff,3.0,0.5,3.0,0.25,250.73762051264444,79.05555555555556,0.04849965210571126,0.42709257615635154,0.20582198362709242
sweep_anynet_s1b5_balanced_per17,anynet_s1b5,17,balanced,2.0,0.75,2.0,0.5,380.4997844696045,84.5,0.07424283707215246,0.4850635906484879,0.20645090875596034
sweep_anynet_s1b10_time_burn_focused_per25,anynet_s1b10,25,time_burn_focused,3.0,1.0,0.5,0.5,46.13098657131195,68.30555555555556,0.007908263504487744,0.31262939958259256,0.21174696457836364
sweep_anynet_s1b5_burn_lean_per21,anynet_s1b5,21,burn_lean,2.5,0.75,1.5,0.5,1000.3304805755615,103.88888888888889,0.19720946903296135,0.691511387156198,0.23059321217621354
sweep_anynet_s1b10_balanced_per13,anynet_s1b10,13,balanced,2.0,0.75,2.0,0.5,460.7969118754069,78.11111111111111,0.09017277951490556,0.4170363797648585,0.23801003173097632
sweep_anynet_s1b1_time_burn_focused_per25,anynet_s1b1,25,time_burn_focused,3.0,1.0,0.5,0.5,240.45430612564087,67.05555555555556,0.04645957157483707,0.2993197278879694,0.24272578173599513
sweep_anynet_s1b5_time_burn_focused_per21,anynet_s1b5,21,time_burn_focused,3.0,1.0,0.5,0.5,137.502383073171,60.94444444444444,0.02603520196683935,0.2342502218253673,0.24794957482917734
sweep_anynet_s1b10_burn_and_debuff_per21,anynet_s1b10,21,burn_and_debuff,3.0,0.5,3.0,0.25,542.3639898300171,75.25,0.10635466421015559,0.3865720201082766,0.2584766589146259
sweep_anynet_s1b1_time_burn_focused_per21,anynet_s1b1,21,time_burn_focused,3.0,1.0,0.5,0.5,331.9648575782776,59.55555555555556,0.06461411663319191,0.21946169772023053,0.27939137232716516
sweep_anynet_s1b1_burn_lean_per17,anynet_s1b1,17,burn_lean,2.5,0.75,1.5,0.5,1180.2955958048503,88.63888888888889,0.23291228954380866,0.5291333924817956,0.3042985849361274
sweep_anynet_s1b1_balanced_per17,anynet_s1b1,17,balanced,2.0,0.75,2.0,0.5,1403.1962769826252,94.80555555555556,0.27713298754795457,0.5947944395086032,0.3155547594309872
sweep_anynet_s1b5_burn_and_debuff_per21,anynet_s1b5,21,burn_and_debuff,3.0,0.5,3.0,0.25,2078.8506228129067,105.41666666666667,0.4111743310928872,0.7077787636718486,0.37548840266346645
sweep_anynet_s1b1_burn_lean_per25,anynet_s1b1,25,burn_lean,2.5,0.75,1.5,0.5,1250.7223777770996,68.47222222222223,0.24688407931377723,0.314404022475209,0.37849764877708136
sweep_anynet_s1b1_burn_and_debuff_per25,anynet_s1b1,25,burn_and_debuff,3.0,0.5,3.0,0.25,2153.819511413574,107.25,0.42604721781983507,0.7272996154906292,0.3800431678266958
sweep_anynet_s1b1_burn_and_debuff_per21,anynet_s1b1,21,burn_and_debuff,3.0,0.5,3.0,0.25,1693.4786326090496,85.25,0.3347213642019066,0.4930493936652618,0.38639013684175605
sweep_anynet_s1b1_balanced_per21,anynet_s1b1,21,balanced,2.0,0.75,2.0,0.5,1633.2764129638672,79.83333333333333,0.3227779992913901,0.43537414965522814,0.39533235460740457
sweep_anynet_s1b1_burn_and_debuff_per13,anynet_s1b1,13,burn_and_debuff,3.0,0.5,3.0,0.25,2453.9856491088867,113.13888888888889,0.4855964128064082,0.7900029576964093,0.4029166016555629
sweep_anynet_s1b1_burn_lean_per13,anynet_s1b1,13,burn_lean,2.5,0.75,1.5,0.5,1451.55100440979,63.861111111111114,0.2867259586745168,0.2653061224461547,0.4211163343383153
sweep_anynet_s1b1_burn_lean_per21,anynet_s1b1,21,burn_lean,2.5,0.75,1.5,0.5,1525.8818842569988,58.861111111111114,0.3014722724710383,0.21206743566766215,0.44741036002942813
sweep_anynet_s1b1_balanced_per25,anynet_s1b1,25,balanced,2.0,0.75,2.0,0.5,1920.1875139872234,75.86111111111111,0.37969756133737576,0.3930789707145369,0.447864601721802
sweep_anynet_s1b1_balanced_per13,anynet_s1b1,13,balanced,2.0,0.75,2.0,0.5,1886.0469220479329,72.02777777777777,0.37292449632091645,0.35226264418435915,0.45536835416933374
sweep_anynet_s1b1_burn_and_debuff_per17,anynet_s1b1,17,burn_and_debuff,3.0,0.5,3.0,0.25,5046.90966796875,38.94444444444444,0.9999999999998015,0.0,0.999999999999861
